121214,NSC_Sensex _report,SIP,California,26252,27000,15
121215,NSC_Sensex _report,ShortTerm,NewYork,5500,6000,12
121216,NSC_Sensex _report,SIP,NewDelhi,5252,65000,25
121217,NSC_Sensex _report,ShortTerm,California,17000,18500,27
121218,NSC_Sensex _report,ShortTerm,NewYork,4500,5500,22
121219,LSA_Sensex_report,Daily,Hyderabad,25432,28645,5
121220,LSA_Sensex_report,SIP,California,25000,26000,25
121221,LSA_Sensex_report,SIP,California,45000,49356,36
121222,LSA_Sensex_report,SIP,NewYork,8965,9654,45
121223,LSA_Sensex_report,SIP,Hyderabad,3654,5000,46
121224,LSA_Sensex_report,SIP,Hyderabad,5656,6464,13
121225,LSA_Sensex_report,ShortTerm,NewYork,25525,25600,11
121226,LSA_Sensex_report,ShortTerm,NewDelhi,26252,27000,53
121227,LSA_Sensex_report,Daily,Hyderabad,5500,6000,15
121228,LSA_Sensex_report,LongTerm,California,5252,65000,26
121229,LSA_Sensex_report,ShortTerm,California,17000,18500,25
121230,MGK_Sensex_report,ShortTerm,California,4500,5500,24
121231,MGK_Sensex_report,ShortTerm,Hyderabad,25432,28645,23
121232,MGK_Sensex_report,ShortTerm,NewYork,25000,26000,22
121233,MGK_Sensex_report,LongTerm,California,45000,49356,21
121234,MGK_Sensex_report,LongTerm,California,8965,9654,20
121235,MGK_Sensex_report,SIP,NewDelhi,3654,5000,19
121236,MGK_Sensex_report,SIP,NewDelhi,5656,6464,18
121237,MGK_Sensex_report,ShortTerm,Hyderabad,4532,5623,17
121238,MGK_Sensex_report,ShortTerm,Hyderabad,4563,5368,16
121239,MGK_Sensex_report,ShortTerm,NewYork,2456,5632,15
121240,MGK_Sensex_report,ShortTerm,NewDelhi,3214,8956,14
121241,MGK_Sensex_report,ShortTerm,Hyderabad,865,5432,13
121242,MGK_Sensex_report,SIP,NewDelhi,17000,18500,15
121243,MGK_Sensex_report,ShortTerm,California,4500,5500,12
121244,MGK_Sensex_report,SIP,NewYork,25432,28645,25
121245,MGK_Sensex_report,ShortTerm,NewDelhi,25000,26000,27
121246,MGK_Sensex_report,ShortTerm,California,45000,49356,22
121247,MGK_Sensex_report,Daily,NewYork,8965,9654,5
121248,MGK_Sensex_report,SIP,Hyderabad,3654,5000,25
121249,MGK_Sensex_report,SIP,California,5656,6464,36
121250,MGK_Sensex_report,SIP,California,25525,25600,45
121251,NSC_Sensex _report,SIP,NewYork,26252,27000,46
121252,NSC_Sensex _report,SIP,Hyderabad,5500,6000,13
